Route_ID,Date,Region,Origin_Hub,Destination_City,Vehicle_Type,Vehicle_Capacity_Cases,Load_Cases,Utilization_Pct,Distance_KM,Avg_Speed_KMPH,Travel_Time_Hrs,No_of_Stops,Total_Time_Hrs,Fuel_Litres,Fuel_Cost_INR,Toll_Cost_INR,Driver_Cost_INR,Total_Route_Cost_INR,Cost_Per_Case_INR,Delivery_Delay_Min,On_Time_Delivery
RT-0001,2024-09-07,West India,Mumbai Hub,Surat,20-ft Truck,500,316,63.2,132,43,3.07,4,5.59,21.98,2077.11,176.39,976.82,3230.32,10.22,0,Yes
RT-0002,2024-10-17,South India,Bengaluru Hub,Kochi,Mini Truck (14-ft),250,167,66.8,420,51,8.24,8,13.69,71.79,6784.16,607.35,1838.84,9230.35,55.27,0,Yes
RT-0003,2024-02-11,East India,Kolkata Hub,Kolkata,Tempo,80,69,86.2,361,33,10.94,9,14.61,69.82,6597.99,570.79,2250.18,9418.96,136.51,0,Yes
RT-0004,2024-08-14,West India,Mumbai Hub,Nagpur,Tempo,80,74,92.5,251,31,8.1,7,10.3,28.49,2692.3,452.1,1851.95,4996.35,67.52,56,No
RT-0005,2024-06-07,Central India,Bhopal Hub,Indore,Tempo,80,78,97.5,105,30,3.5,3,4.28,15.23,1439.24,204.49,541.39,2185.12,28.01,2,Yes
RT-0006,2024-10-06,Central India,Bhopal Hub,Bhopal,20-ft Truck,500,294,58.8,282,53,5.32,5,8.82,31.7,2995.65,478.44,1370.96,4845.05,16.48,16,Yes
RT-0007,2024-02-19,West India,Mumbai Hub,Vadodara,Tata Ace,120,99,82.5,370,58,6.38,2,7.01,43.76,4135.32,606.63,1260.24,6002.19,60.63,0,Yes
RT-0008,2024-05-11,North India,Delhi Hub,Lucknow,20-ft Truck,500,315,63.0,224,37,6.05,5,9.5,35.69,3372.7,335.73,1317.77,5026.2,15.96,0,Yes
RT-0009,2024-07-23,North India,Delhi Hub,Agra,Tata Ace,120,77,64.2,362,32,11.31,10,15.25,49.3,4658.85,313.76,2093.91,7066.52,91.77,0,Yes
RT-0010,2024-12-01,West India,Mumbai Hub,Surat,Tata Ace,120,65,54.2,107,30,3.57,7,7.85,16.23,1533.74,152.11,1137.57,2823.42,43.44,39,No
RT-0011,2024-08-12,South India,Bengaluru Hub,Coimbatore,Mini Truck (14-ft),250,139,55.6,367,48,7.65,5,10.81,46.77,4419.77,659.23,1628.9,6707.9,48.26,0,Yes
RT-0012,2024-07-28,West India,Mumbai Hub,Ahmedabad,32-ft Truck,800,510,63.7,365,48,7.6,9,12.25,41.86,3955.77,423.24,2333.95,6712.96,13.16,35,No
RT-0013,2024-12-06,Central India,Bhopal Hub,Indore,20-ft Truck,500,450,90.0,114,52,2.19,7,7.05,17.86,1687.77,197.66,1237.61,3123.04,6.94,27,Yes
RT-0014,2024-09-29,South India,Bengaluru Hub,Vizag,Mini Truck (14-ft),250,218,87.2,395,42,9.4,8,14.84,61.89,5848.61,537.15,1914.16,8299.92,38.07,8,Yes
RT-0015,2024-11-06,South India,Bengaluru Hub,Bengaluru,Mini Truck (14-ft),250,154,61.6,276,56,4.93,5,6.84,32.83,3102.43,381.87,1127.44,4611.74,29.95,0,Yes
RT-0016,2024-11-16,East India,Kolkata Hub,Bhubaneswar,Mini Truck (14-ft),250,138,55.2,172,32,5.38,11,8.31,32.87,3106.21,209.77,1642.59,4958.57,35.93,0,Yes
