Cold_Chain_ID,Date,Region,Warehouse,SKU,Supply_Chain_Stage,Target_Temp_C,Avg_Temp_C,Min_Temp_C,Max_Temp_C,Temperature_Breach,Breach_Duration_Min,Humidity_Pct,Transport_Hours,Product_Status,Cost_Impact_INR
CC-0001,2024-11-20,West India,WH-HYD-01,Stout_650ml,Retail Outlet,6,6.6,5.9,7.1,No,0,55.1,3.2,Compliant,0
CC-0002,2024-10-25,South India,WH-KOL-01,Wheat_330ml,Brewery,2,0.8,-1.3,2.5,Yes,167,79.7,13.2,Disposed,23207
CC-0003,2024-07-19,South India,WH-KOL-01,Stout_650ml,Retail Outlet,4,3.0,0.8,6.3,Yes,36,79.4,9.4,Compliant,2048
CC-0004,2024-01-31,East India,WH-KOL-01,Wheat_330ml,Primary Warehouse,2,3.4,1.9,5.4,No,0,82.1,7.7,Compliant,0
CC-0005,2024-01-24,North India,WH-BLR-01,Lager_500ml,Distributor,2,0.9,-0.8,4.3,Yes,46,55.2,10.1,Compliant,8550
CC-0006,2024-04-18,East India,WH-KOL-01,Wheat_330ml,Primary Warehouse,6,5.3,4.0,6.1,No,0,75.9,4.9,Compliant,0
CC-0007,2024-07-26,North India,WH-HYD-01,Light_Beer_330ml,Brewery,4,4.8,3.8,7.4,No,0,66.3,11.1,Compliant,0
CC-0008,2024-06-25,South India,WH-DEL-01,Lager_500ml,Brewery,8,12.5,11.0,13.2,Yes,67,74.6,2.0,Quarantined,12210
CC-0009,2024-09-14,Central India,WH-DEL-01,Strong_Beer_500ml,Primary Warehouse,8,7.0,4.6,8.1,Yes,98,82.5,2.5,Disposed,19357
CC-0010,2024-11-28,East India,WH-HYD-01,Strong_Beer_500ml,Brewery,2,2.6,0.8,4.1,No,0,83.8,16.8,Compliant,0
CC-0011,2024-07-18,East India,WH-DEL-01,Strong_Beer_500ml,Primary Warehouse,8,8.3,6.3,11.0,No,0,65.0,15.3,Compliant,0
CC-0012,2024-05-08,North India,WH-KOL-01,Strong_Beer_500ml,Retail Outlet,8,10.2,8.6,11.6,No,0,78.8,12.4,Compliant,0
CC-0013,2024-06-14,East India,WH-KOL-01,Stout_650ml,Retail Outlet,4,3.6,3.0,5.7,No,0,66.9,2.4,Compliant,0
CC-0014,2024-09-03,Central India,WH-MUM-01,Strong_Beer_500ml,Distributor,8,6.9,4.6,9.5,Yes,102,64.0,12.6,Compliant,17361
CC-0015,2024-10-05,Central India,WH-HYD-01,Strong_Beer_500ml,Brewery,8,8.3,7.7,11.2,No,0,63.2,3.8,Compliant,0
CC-0016,2024-05-06,Central India,WH-HYD-01,Stout_650ml,Brewery,2,4.1,2.2,7.0,Yes,124,70.8,5.1,Disposed,23807
